name,country,region,address,phone,lat,lon
SAN CRISTÓBAL SUR (LA CONCORDIA),Venezuela,TÁCHIRA,"Calle 4 entre carreras 7 y 8, local Nº 7-54. Sector La Concordia, San Cristóbal. Edo. Táchira 5001.",,,
BARRIO OBRERO,Venezuela,TÁCHIRA,"Carrera 16, esquina calle 13 de barrio obrero N° 12-83, punto de referencia: una cuadra abajo de la residencia de Gobernadores.",,,
PARAMILLO,Venezuela,TÁCHIRA,"Av. LA ULA Urb. Villa Hermosa, sector Santa Cecilia (frente de la heladería la montagnola) casa N°2 San Cristóbal, Táchira.",,,
LA FRÍA,Venezuela,TÁCHIRA,Carrera 11 esq. Calle 5 Casa nro. 4-75. Sector Casco Central. La Fría. Edo. Táchira. Zona postal 5020.,,,
VALERA,Venezuela,TRUJILLO,Sector Las Acacias Av. Bolívar entre calle 17 y 18 Parroquia Juan Ignacio Montilla Municipio Valera Estado Trujillo Zp. 3101.,,,
VALERA CENTRO,Venezuela,TRUJILLO,"Calle 4 con Esquina Av. 12 del Centro de Valera, C.C. Adriático, PB, local N° 12 y 6. Mcpio. Valera, Edo. Trujillo.",,,
CAJA SECA,Venezuela,TRUJILLO,"Carretera Panamericana, Local Nro. 2, Sector Latino, Parroquia Nueva Bolivia-Edo. Mérida.",,,
CABIMAS,Venezuela,ZULIA,Carretera H Centro Comercial Borjas (Centro 99) Local PB Local 16 Parroquia Carmen Herrera Municipio Cabimas estado Zulia Venezuela Zp. 4013.,,,
CIUDAD OJEDA,Venezuela,ZULIA,Av. Intercomunal Sector Las Morochas Edf. Comercial Tamare C.A (Cotaca) Local 2 Municipio Lagunillas Parroquia Alonso de Ojeda Zp. 4019.,,,
MARACAIBO CENTRO,Venezuela,ZULIA,Sector Santa Lucia Av. 4 Bella Vista Esq. Calle 79 Local C.C. Comercial Shalon Local 7 Frente a La Iglesia La Consolación Pquia Santa Lucía Maracaibo Zp. 1214.,,,
MARACAIBO CENTRO - DELICIAS,Venezuela,ZULIA,"Avenida 15 (Delicias) entre calles 74 y 75 frente a Refrindustria C.A Municipio Maracaibo Parroquia Olegario Villalobos ZP 4001, Maracaibo, Edo. Zulia",,,
BELLA VISTA COSTA VERDE,Venezuela,ZULIA,"Av. 4 Bella Vista Calle 65 Y 66, Edf. Profesional Del Norte PB, Local 4, frente de Residencias Atlantis, diagonal al costa verde.",,,
MARACAIBO - DELICIAS CC EL TUCÁN,Venezuela,ZULIA,Av. 15 Las Delicias con Calle 66A Centro Comercial El Tucán Local Nro. 4 Municipio Maracaibo Parroquia Juana de Ávila Zp. 4001,,,
MARACAIBO SUR - SAN FRANCISCO,Venezuela,ZULIA,Urb. Sierra Maestra Calle 18 entre Av. 11 y 12 Local 11-80 al lado del Registro Civil. Municipio San Francisco Parroquia Francisco Ochoa Zp. 4004,,,
MARACAIBO SUR - LA COROMOTO,Venezuela,ZULIA,Av. 40 Urbanización Coromoto C.C Bistana Local Nro. 5 Municipio San Francisco Parroquia San Francisco Zp. 4005,,,
MARACAIBO SUROESTE,Venezuela,ZULIA,"Avenida Circunvalación 2 Centro Comercial Dividivi Local G-11 Frente al Supermercado Decandido. Municipio Maracaibo, Parroquia Luis Hurtado Zp. 4002",,,
MARACAIBO DR. PORTILLO,Venezuela,ZULIA,"Calle 78 Dr. Portillo, entre Av. 18 y 19 Centro Comercial Framel N° 18-50 Locales 3 y 4, al lado de Sandrita Pquia Chiquinquirá, Mcpio Maracaibo Zp. 4001",,,
MARACAIBO OESTE – LA LIMPIA,Venezuela,ZULIA,"Calle 79, Centro Comercial y Residencial KOTECH, Nivel PB, Local 4, Sector La Limpia, Maracaibo-Estado Zulia, Zona Postal 4001",,,
MARACAIBO NORTE – PLAZA DE TOROS,Venezuela,ZULIA,"Barrio San Agustín, Av. 16 Guajira C/C 46, Casa 46-10, Local # 2 (Referencia vía C.C. Sambil) Parroquia Idelfonso Vásquez, Municipio Zulia, Zona Postal 4005",,,
